Training Size	Validation Size	Test Size	LSTM Hidden Size	Dense Hidden Size	Dropout Rate	Learning Rate	Batch Size	Training Acc (ES)	Training Acc	Validation Acc (ES)	Validation Acc	Testing Acc
100	2000	12500	16	64	0.2	3.00E-04	32	0.9536	0.993	0.6053	0.5738	0.6156
200	2000	12500	32	16	0.3	3.00E-04	32	0.938	0.9854	0.6884	0.6437	0.6819
300	2000	12500	16	64	0.4	3.00E-04	32	0.9824	0.9994	0.7086	0.6742	0.713
400	2000	12500	32	32	0	3.00E-04	32	0.949	0.9991	0.7197	0.6883	0.7085
500	2000	12500	64	256	0.2	3.00E-04	32	0.9589	0.9963	0.7434	0.7149	0.7223
600	2000	12500	32	128	0.2	3.00E-04	32	0.9661	0.9994	0.7523	0.7523	0.7482
700	2000	12500	16	64	0.1	3.00E-04	32	0.9807	0.9997	0.7582	0.7369	0.7519
800	2000	12500	64	16	0.1	3.00E-04	32	0.9603	0.9904	0.7485	0.7217	0.7389
900	2000	12500	64	256	0.3	3.00E-04	32	0.9773	0.9996	0.7804	0.7569	0.763
1000	2000	12500	64	256	0	3.00E-04	32	0.9719	0.9998	0.7914	0.772	0.7788
2000	2000	12500	16	128	0.3	3.00E-04	32	0.9657	0.9999	0.8285	0.8112	0.8209
3000	2000	12500	32	16	0.4	3.00E-04	32	0.9669	0.9968	0.8434	0.8236	0.8226
4000	2000	12500	64	64	0.1	3.00E-04	32	0.9557	1	0.8508	0.8395	0.8314
5000	2000	12500	16	32	0.2	3.00E-04	32	0.9526	0.9995	0.8658	0.851	0.8432
6000	2000	12500	32	256	0.4	3.00E-04	32	0.9366	0.9996	0.8604	0.8471	0.8493
7000	2000	12500	64	256	0.3	3.00E-04	32	0.9261	0.9995	0.8668	0.8536	0.8508
8000	2000	12500	16	128	0.2	3.00E-04	32	0.9015	0.9994	0.8792	0.863	0.8576
9000	2000	12500	32	32	0.3	3.00E-04	32	0.9247	0.9982	0.8695	0.8498	0.8539
10000	2000	12500	32	16	0.2	3.00E-04	32	0.9358	0.9977	0.8667	0.85	0.8564
11000	2000	12500	32	128	0.3	3.00E-04	32	0.9014	0.9984	0.8741	0.8548	0.8582
12000	2000	12500	16	128	0	3.00E-04	32	0.9173	0.9993	0.8814	0.8688	0.8612
13000	2000	12500	32	256	0.1	3.00E-04	32	0.8678	0.9981	0.8788	0.859	0.8661
14000	2000	12500	16	256	0.1	3.00E-04	32	0.8819	0.9985	0.8798	0.8608	0.8676
